Gene Symbol	Locus ID	Cytoband	BIOS1N_BIOM1N	BIOS1T_BIOM1T
TOPBP1	11073	3q22.1	0	1
TF	7018	3q22.1	0	1
SRPRB	58477	3q22.1	0	1
RAB6B	51560	3q22.1	0	1
C3orf36	80111	3q22.1	0	1
SLCO2A1	6578	3q22.1	0	1
LOC100507210	100507210	3q22.2	0	1
RYK	6259	3q22.2	0	1
AMOTL2	51421	3q22.2	0	1
MIR6827	102466744	3q22.2	0	1
MIR4788	100616281	3q22.2	0	1
ANAPC13	25847	3q22.2	0	1
CEP63	80254	3q22.2	0	1
KY	339855	3q22.2	0	1
EPHB1	2047	3q22.2	0	1
PPP2R3A	5523	3q22.2	0	1
MSL2	55167	3q22.3	0	1
PCCB	5096	3q22.3	0	1
STAG1	10274	3q22.3	0	1
SLC35G2	80723	3q22.3	0	1
NCK1-AS1	101927597	3q22.3	0	1
NCK1	4690	3q22.3	0	1
IL20RB	53833	3q22.3	0	1
SOX14	8403	3q22.3	0	1
LINC01210	100507274	3q22.3	0	1
CLDN18	51208	3q22.3	0	1
DZIP1L	199221	3q22.3	0	1
A4GNT	51146	3q22.3	0	1
DBR1	51163	3q22.3	0	1
ARMC8	25852	3q22.3	0	1
NME9	347736	3q22.3	0	1
MRAS	22808	3q22.3	0	1
ESYT3	83850	3q22.3	0	1
CEP70	80321	3q22.3	0	1
FAIM	55179	3q22.3	0	1
PIK3CB	5291	3q22.3	0	1
LINC01391	103344930	3q22.3	0	1
FOXL2	668	3q22.3	0	1
FOXL2NB	401089	3q22.3	0	1
PRR23A	729627	3q23	0	1
PRR23B	389151	3q23	0	1
PRR23C	389152	3q23	0	1
BPESC1	60467	3q23	0	1
PISRT1	140464	3q23	0	1
MRPS22	56945	3q23	0	1
COPB2	9276	3q23	0	1
LOC100507291	100507291	3q23	0	1
RBP2	5948	3q23	0	1
RBP1	5947	3q23	0	1
NMNAT3	349565	3q23	0	1
CLSTN2	64084	3q23	0	1
CLSTN2-AS1	101927808	3q23	0	1
TRIM42	287015	3q23	0	1
SLC25A36	55186	3q23	0	1
SPSB4	92369	3q23	0	1
PXYLP1	92370	3q23	0	1
ZBTB38	253461	3q23	0	1
RASA2	5922	3q23	0	1
LOC646730	646730	3q23	0	1
RNF7	9616	3q23	0	1
GRK7	131890	3q23	0	1
ATP1B3	483	3q23	0	1
TFDP2	7029	3q23	0	1
GK5	256356	3q23	0	1
XRN1	54464	3q23	0	1
ATR	545	3q23	0	1
PLS1	5357	3q23	0	1
TRPC1	7220	3q23	0	1
PCOLCE2	26577	3q23	0	1
LOC100507389	100507389	3q23	0	1
PAQR9-AS1	101927832	3q23	0	1
PAQR9	344838	3q23	0	1
LOC100289361	100289361	3q23	0	1
U2SURP	23350	3q23	0	1
CHST2	9435	3q24	0	1
SLC9A9	285195	3q24	0	1
SLC9A9-AS1	100885796	3q24	0	1
C3orf58	205428	3q24	0	1
PLOD2	5352	3q24	0	1
PLSCR4	57088	3q24	0	1
PLSCR2	57047	3q24	0	1
PLSCR1	5359	3q24	0	1
PLSCR5	389158	3q24	0	1
LOC101927866	101927866	3q24	0	1
ZIC4	84107	3q24	0	1
ZIC1	7545	3q24	0	1
LOC440982	440982	3q24	0	1
LOC100507461	100507461	3q24	0	1
AGTR1	185	3q24	0	1
CPB1	1360	3q24	0	1
CPA3	1359	3q24	0	1
GYG1	2992	3q24	0	1
HLTF	6596	3q24	0	1
HLTF-AS1	100873945	3q24	0	1
HPS3	84343	3q24	0	1
CP	1356	3q24	0	1
TM4SF18	116441	3q25.1	0	1
TM4SF1	4071	3q25.1	0	1
TM4SF1-AS1	100874091	3q25.1	0	1
TM4SF4	7104	3q25.1	0	1
WWTR1	25937	3q25.1	0	1
WWTR1-AS1	100128025	3q25.1	0	1
COMMD2	51122	3q25.1	0	1
ANKUB1	389161	3q25.1	0	1
RNF13	11342	3q25.1	0	1
LOC646903	646903	3q25.1	0	1
PFN2	5217	3q25.1	0	1
TMEM183B	653659	3q25.1	0	1
LOC105374313	105374313	3q25.1	0	1
LINC01213	101927992	3q25.1	0	1
LINC01214	101928022	3q25.1	0	1
TSC22D2	9819	3q25.1	0	1
SERP1	27230	3q25.1	0	1
EIF2A	83939	3q25.1	0	1
SELT	51714	3q25.1	0	1
ERICH6	131831	3q25.1	0	1
ERICH6-AS1	101928085	3q25.1	0	1
LOC101928105	101928105	3q25.1	0	1
SIAH2	6478	3q25.1	0	1
CLRN1	7401	3q25.1	0	1
CLRN1-AS1	116933	3q25.1	0	1
MED12L	116931	3q25.1	0	1
GPR171	29909	3q25.1	0	1
P2RY14	9934	3q25.1	0	1
GPR87	53836	3q25.1	0	1
P2RY13	53829	3q25.1	0	1
P2RY12	64805	3q25.1	0	1
IGSF10	285313	3q25.1	0	1
MIR5186	100847036	3q25.1	0	1
AADACL2	344752	3q25.1	0	1
AADACL2-AS1	101928142	3q25.1	0	1
AADACP1	201651	3q25.1	0	1
AADAC	13	3q25.1	0	1
SUCNR1	56670	3q25.1	0	1
LOC101928166	101928166	3q25.1	0	1
MBNL1-AS1	401093	3q25.1	0	1
MBNL1	4154	3q25.1	0	1
TMEM14EP	645843	3q25.2	0	1
P2RY1	5028	3q25.2	0	1
RAP2B	5912	3q25.2	0	1
C3orf79	152118	3q25.2	0	1
ARHGEF26-AS1	100507524	3q25.2	0	1
ARHGEF26	26084	3q25.2	0	1
DHX36	170506	3q25.2	0	1
GPR149	344758	3q25.2	0	1
MME	4311	3q25.2	0	1
LINC01487	101928190	3q25.2	0	1
LOC100507537	100507537	3q25.2	0	1
PLCH1	23007	3q25.31	0	1
C3orf33	285315	3q25.31	0	1
SLC33A1	9197	3q25.31	0	1
GMPS	8833	3q25.31	0	1
KCNAB1	7881	3q25.31	0	1
KCNAB1-AS2	100874083	3q25.31	0	1
KCNAB1-AS1	100874084	3q25.31	0	1
SSR3	6747	3q25.31	0	1
TIPARP-AS1	100287227	3q25.31	0	1
TIPARP	25976	3q25.31	0	1
LINC00886	730091	3q25.31	0	1
PA2G4P4	647033	3q25.31	0	1
LEKR1	389170	3q25.31	0	1
LINC00880	339894	3q25.31	0	1
LOC105374177	105374177	3q25.31	0	1
LINC00881	100498859	3q25.31	0	1
CCNL1	57018	3q25.31	0	1
VEPH1	79674	3q25.31	0	1
PTX3	5806	3q25.32	0	1
PQLC2L	152078	3q25.32	0	1
SHOX2	6474	3q25.32	0	1
RSRC1	51319	3q25.32	0	1
LOC100996447	100996447	3q25.32	0	1
MLF1	4291	3q25.32	0	1
GFM1	85476	3q25.32	0	1
LXN	56925	3q25.32	0	1
RARRES1	5918	3q25.32	0	1
MFSD1	64747	3q25.32	0	1
IQCJ-SCHIP1	100505385	3q25.32	0	1
IQCJ	654502	3q25.32	0	1
SCHIP1	29970	3q25.32	0	1
MIR3919	100500803	3q25.32	0	1
IQCJ-SCHIP1-AS1	100874433	3q25.33	0	1
IL12A-AS1	101928376	3q25.33	0	1
IL12A	3592	3q25.33	0	1
LINC01100	730109	3q25.33	0	1
C3orf80	401097	3q25.33	0	1
IFT80	57560	3q25.33	0	1
SMC4	10051	3q25.33	0	1
MIR15B	406949	3q25.33	0	1
MIR16-2	406951	3q25.33	0	1
TRIM59	286827	3q25.33	0	1
KPNA4	3840	3q25.33	0	1
SCARNA7	677767	3q25.33	0	1
ARL14	80117	3q25.33	0	1
PPM1L	151742	3q25.33	0	1
B3GALNT1	8706	3q26.1	0	1
NMD3	51068	3q26.1	0	1
SPTSSB	165679	3q26.1	0	1
LOC101243545	101243545	3q26.1	0	1
OTOL1	131149	3q26.1	0	1
LINC01192	647107	3q26.1	0	1
MIR1263	100302148	3q26.1	0	1
hsa-mir-720	-1838	3q26.1	0	1
LINC01324	104355289	3q26.1	0	1
SI	6476	3q26.1	0	1
SLITRK3	22865	3q26.1	0	1
LINC01322	103695433	3q26.1	0	1
BCHE	590	3q26.1	0	1
LOC105374194	105374194	3q26.1	0	1
ZBBX	79740	3q26.1	0	1
LINC01327	104310350	3q26.1	0	1
SERPINI2	5276	3q26.1	0	1
WDR49	151790	3q26.1	0	1
PDCD10	11235	3q26.1	0	1
SERPINI1	5274	3q26.1	0	1
LINC01330	646168	3q26.1	0	1
GOLIM4	27333	3q26.2	0	1
EGFEM1P	93556	3q26.2	0	1
MIR551B	693136	3q26.2	0	1
LOC100507661	100507661	3q26.2	0	1
MECOM	2122	3q26.2	0	1
LOC105374205	105374205	3q26.2	0	1
TERC	7012	3q26.2	0	1
ACTRT3	84517	3q26.2	0	1
MYNN	55892	3q26.2	0	1
LRRC34	151827	3q26.2	0	1
LRRIQ4	344657	3q26.2	0	1
LRRC31	79782	3q26.2	0	1
SAMD7	344658	3q26.2	0	1
LOC100128164	100128164	3q26.2	0	1
SEC62	7095	3q26.2	0	1
GPR160	26996	3q26.2	0	1
PHC3	80012	3q26.2	0	1
PRKCI	5584	3q26.2	0	1
SKIL	6498	3q26.2	0	1
CLDN11	5010	3q26.2	0	1
MIR6828	102465497	3q26.2	0	1
SLC7A14	57709	3q26.2	0	1
LOC101928583	101928583	3q26.2	0	1
RPL22L1	200916	3q26.2	0	1
EIF5A2	56648	3q26.2	0	1
SLC2A2	6514	3q26.2	0	1
TNIK	23043	3q26.2	0	1
MIR569	693154	3q26.2	0	1
PLD1	5337	3q26.31	0	1
TMEM212	389177	3q26.31	0	1
TMEM212-AS1	100874219	3q26.31	0	1
FNDC3B	64778	3q26.31	0	1
GHSR	2693	3q26.31	0	1
TNFSF10	8743	3q26.31	0	1
NCEH1	57552	3q26.31	0	1
ECT2	1894	3q26.31	0	1
SPATA16	83893	3q26.31	0	1
NLGN1	22871	3q26.31	0	1
NLGN1-AS1	100874010	3q26.31	0	1
NAALADL2	254827	3q26.31	0	1
NAALADL2-AS3	100862679	3q26.31	0	1
NAALADL2-AS2	100874244	3q26.31	0	1
MIR4789	100616395	3q26.31	0	1
NAALADL2-AS1	100874245	3q26.31	0	1
MIR7977	102465858	3q26.32	0	1
LINC01208	100505547	3q26.32	0	1
LINC01209	101928684	3q26.32	0	1
TBL1XR1	79718	3q26.32	0	1
LINC00501	100820709	3q26.32	0	1
LINC00578	100505566	3q26.32	0	1
KCCAT211	102724550	3q26.32	0	1
LINC01014	100874330	3q26.32	0	1
KCNMB2-AS1	104797538	3q26.32	0	1
KCNMB2	10242	3q26.32	0	1
ZMAT3	64393	3q26.32	0	1
LOC101928739	101928739	3q26.32	0	1
PIK3CA	5290	3q26.32	0	1
KCNMB3	27094	3q26.32	0	1
ZNF639	51193	3q26.33	0	1
MFN1	55669	3q26.33	0	1
GNB4	59345	3q26.33	0	1
ACTL6A	86	3q26.33	0	1
MRPL47	57129	3q26.33	0	1
NDUFB5	4711	3q26.33	0	1
USP13	8975	3q26.33	0	1
PEX5L	51555	3q26.33	0	1
PEX5L-AS2	101928790	3q26.33	0	1
LOC100505609	100505609	3q26.33	0	1
TTC14	151613	3q26.33	0	1
CCDC39	339829	3q26.33	0	1
LOC101928882	101928882	3q26.33	0	1
FXR1	8087	3q26.33	0	1
DNAJC19	131118	3q26.33	0	1
SOX2-OT	347689	3q26.33	0	1
RNU6-1|chr3	26827	3q26.33	0	1
RNU6-2|chr3	103625684	3q26.33	0	1
RNU6-7|chr3	101954275	3q26.33	0	1
LOC102724604	102724604	3q26.33	0	1
SOX2	6657	3q26.33	0	1
LINC01206	100996490	3q26.33	0	1
FLJ46066	401103	3q26.33	0	1
LOC105374244	105374244	3q26.33	0	1
ATP11B	23200	3q26.33	0	1
DCUN1D1	54165	3q26.33	0	1
MCCC1	56922	3q27.1	0	1
LAMP3	27074	3q27.1	0	1
MCF2L2	23101	3q27.1	0	1
B3GNT5	84002	3q27.1	0	1
LINC00888	100505687	3q27.1	0	1
KLHL6	89857	3q27.1	0	1
KLHL6-AS1	100874019	3q27.1	0	1
KLHL24	54800	3q27.1	0	1
YEATS2	55689	3q27.1	0	1
MAP6D1	79929	3q27.1	0	1
PARL	55486	3q27.1	0	1
MIR4448	100616127	3q27.1	0	1
ABCC5	10057	3q27.1	0	1
ABCC5-AS1	100873982	3q27.1	0	1
HTR3D	200909	3q27.1	0	1
HTR3C	170572	3q27.1	0	1
HTR3E-AS1	106478970	3q27.1	0	1
HTR3E	285242	3q27.1	0	1
EIF2B5	8893	3q27.1	0	1
DVL3	1857	3q27.1	0	1
AP2M1	1173	3q27.1	0	1
ABCF3	55324	3q27.1	0	1
VWA5B2	90113	3q27.1	0	1
ALG3	10195	3q27.1	0	1
MIR1224	100187716	3q27.1	0	1
ECE2	9718	3q27.1	0	1
CAMK2N2	94032	3q27.1	0	1
PSMD2	5708	3q27.1	0	1
EIF4G1	1981	3q27.1	0	1
SNORD66	692107	3q27.1	0	1
FAM131A	131408	3q27.1	0	1
CLCN2	1181	3q27.1	0	1
POLR2H	5437	3q27.1	0	1
THPO	7066	3q27.1	0	1
CHRD	8646	3q27.1	0	1
LOC105374250	105374250	3q27.1	0	1
EIF2B5-AS1	100874079	3q27.1	0	0
EPHB3	2049	3q27.1	0	0
MAGEF1	64110	3q27.1	0	0
LOC101928992	101928992	3q27.1	0	0
VPS8	23355	3q27.2	0	0
C3orf70	285382	3q27.2	0	0
EHHADH-AS1	339926	3q27.2	0	0
EHHADH	1962	3q27.2	0	0
MIR5588	100847054	3q27.2	0	0
MAP3K13	9175	3q27.2	0	0
TMEM41A	90407	3q27.2	0	0
LIPH	200879	3q27.2	0	0
SENP2	59343	3q27.2	0	0
IGF2BP2	10644	3q27.2	0	0
IGF2BP2-AS1	646600	3q27.2	0	0
MIR548AQ|chr3	100847078	3q27.2	0	0
TRA2B	6434	3q27.2	0	0
NMRAL1P1	344887	3q27.2	0	0
ETV5	2119	3q27.2	0	0
DGKG	1608	3q27.2	0	0
LOC253573	253573	3q27.3	0	0
CRYGS	1427	3q27.3	0	0
TBCCD1	55171	3q27.3	0	0
DNAJB11	51726	3q27.3	0	0
AHSG	197	3q27.3	0	0
FETUB	26998	3q27.3	0	0
HRG	3273	3q27.3	0	0
KNG1	3827	3q27.3	0	0
EIF4A2	1974	3q27.3	0	0
SNORD2	619567	3q27.3	0	0
MIR1248	100302143	3q27.3	0	0
RFC4	5984	3q27.3	0	0
SNORA4	619568	3q27.3	0	0
SNORA63	6043	3q27.3	0	0
SNORA81	677847	3q27.3	0	0
LOC102724699	102724699	3q27.3	0	0
ADIPOQ	9370	3q27.3	0	0
ADIPOQ-AS1	100874095	3q27.3	0	0
ST6GAL1	6480	3q27.3	0	0
RPL39L	116832	3q27.3	0	0
LOC101929106	101929106	3q27.3	0	0
RTP1	132112	3q27.3	0	0
MASP1	5648	3q27.3	0	0
LOC101929130	101929130	3q27.3	0	0
RTP4	64108	3q27.3	0	0
SST	6750	3q27.3	0	0
LOC100131635	100131635	3q27.3	0	0
RTP2	344892	3q27.3	0	0
BCL6	604	3q27.3	0	0
LOC105374266	105374266	3q27.3	0	0
LPP-AS2	339929	3q27.3	0	0
LPP	4026	3q27.3	0	0
FLJ42393	401105	3q27.3	0	0
LPP-AS1	100873917	3q28	0	0
MIR28	407020	3q28	0	0
TPRG1-AS1	100874043	3q28	0	0
TPRG1	285386	3q28	0	0
TPRG1-AS2	100874027	3q28	0	0
TP63	8626	3q28	0	0
MIR944	100126340	3q28	0	0
P3H2	55214	3q28	0	0
P3H2-AS1	101929152	3q28	0	0
CLDN1	9076	3q28	0	0
CLDN16	10686	3q28	0	0
TMEM207	131920	3q28	0	0
IL1RAP	3556	3q28	0	0
GMNC	647309	3q28	0	0
SNAR-I	100170222	3q28	0	0
OSTN	344901	3q28	0	0
OSTN-AS1	106480738	3q28	0	0
UTS2B	257313	3q28	0	0
CCDC50	152137	3q28	0	0
LINCR-0002	103344926	3q28	0	0
PYDC2	152138	3q28	0	0
FGF12	2257	3q28	0	0
FGF12-AS1	100873986	3q28	0	0
FGF12-AS3	100873988	3q28	0	0
MB21D2	151963	3q29	0	0
HRASLS	57110	3q29	0	0
MGC2889	84789	3q29	0	0
ATP13A5	344905	3q29	0	0
ATP13A5-AS1	100874218	3q29	0	0
ATP13A4	84239	3q29	0	0
ATP13A4-AS1	101929198	3q29	0	0
OPA1	4976	3q29	0	0
OPA1-AS1	100873941	3q29	0	0
LOC647323	647323	3q29	0	0
DPPA2P3	100128023	3q29	0	0
LOC285389	285389	3q29	0	0
HES1	3280	3q29	0	0
LOC100505920	100505920	3q29	0	0
LOC101929337	101929337	3q29	0	0
LINC00887	100131551	3q29	0	0
CPN2	1370	3q29	0	0
LRRC15	131578	3q29	0	0
GP5	2814	3q29	0	0
ATP13A3	79572	3q29	0	0
LINC00884	401106	3q29	0	0
TMEM44-AS1	100507297	3q29	0	0
TMEM44	93109	3q29	0	0
LSG1	55341	3q29	0	0
FAM43A	131583	3q29	0	0
LOC100507391	100507391	3q29	0	0
XXYLT1	152002	3q29	0	0
XXYLT1-AS1	100874528	3q29	0	0
MIR3137	100422926	3q29	0	0
XXYLT1-AS2	101410543	3q29	0	0
ACAP2	23527	3q29	0	0
PPP1R2	5504	3q29	0	0
APOD	347	3q29	0	0
LOC105374297	105374297	3q29	0	-2
SDHAP2	727956	3q29	0	-2
LINC00969	440993	3q29	0	-2
MIR570	693155	3q29	0	-2
MUC20	200958	3q29	0	-2
MUC4	4585	3q29	0	0
LOC101929697	101929697	3q29	0	0
TNK2	10188	3q29	0	0
MIR6829	102465977	3q29	0	0
SDHAP1	255812	3q29	0	0
TFRC	7037	3q29	0	0
LINC00885	401109	3q29	0	0
ZDHHC19	131540	3q29	0	0
SLC51A	200931	3q29	0	0
PCYT1A	5130	3q29	0	0
TCTEX1D2	255758	3q29	0	0
TM4SF19-AS1	100874214	3q29	0	0
TM4SF19-TCTEX1D2	100534611	3q29	0	0
TM4SF19	116211	3q29	0	0
UBXN7	26043	3q29	0	0
UBXN7-AS1	100874034	3q29	0	0
RNF168	165918	3q29	0	0
SMCO1	255798	3q29	0	0
WDR53	348793	3q29	0	0
FBXO45	200933	3q29	0	0
LINC01063	101929769	3q29	0	0
NRROS	375387	3q29	0	0
CEP19	84984	3q29	0	0
PIGX	54965	3q29	0	0
PAK2	5062	3q29	0	0
SENP5	205564	3q29	0	0
NCBP2	22916	3q29	0	0
NCBP2-AS2	152217	3q29	0	0
PIGZ	80235	3q29	0	-1
MELTF	4241	3q29	0	-1
MFI2-AS1	100507057	3q29	0	-1
DLG1	1739	3q29	0	-1
DLG1-AS1	100507086	3q29	0	0
MIR4797	100616216	3q29	0	0
BDH1	622	3q29	0	0
LOC220729	220729	3q29	0	0
MIR922	100126321	3q29	0	0
RUBCN	9711	3q29	0	0
FYTTD1	84248	3q29	0	0
LRCH3	84859	3q29	0	0
IQCG	84223	3q29	0	0
RPL35A	6165	3q29	0	0
LMLN	89782	3q29	0	0
LMLN-AS1	100873947	3q29	0	0
ANKRD18DP	348840	3q29	0	0
FAM157A	728262	3q29	0	0
ZNF595	152687	4p16.3	0	0
ZNF718	255403	4p16.3	0	0
ZNF876P	642280	4p16.3	0	0
ZNF732	654254	4p16.3	0	0
ZNF141	7700	4p16.3	0	0
MIR571	693156	4p16.3	0	0
ABCA11P	79963	4p16.3	0	0
ZNF721	170960	4p16.3	0	0
PIGG	54872	4p16.3	0	0
PDE6B	5158	4p16.3	0	0
ATP5I	521	4p16.3	0	0
MFSD7	84179	4p16.3	0	0
MYL5	4636	4p16.3	0	0
PCGF3	10336	4p16.3	0	0
LOC100129917	100129917	4p16.3	0	0
CPLX1	10815	4p16.3	0	0
GAK	2580	4p16.3	0	0
TMEM175	84286	4p16.3	0	0
DGKQ	1609	4p16.3	0	0
SLC26A1	10861	4p16.3	0	0
IDUA	3425	4p16.3	0	0
FGFRL1	53834	4p16.3	0	0
RNF212	285498	4p16.3	0	0
LOC105374344	105374344	4p16.3	0	0
TMED11P	100379220	4p16.3	0	0
SPON2	10417	4p16.3	0	0
LOC100130872	100130872	4p16.3	0	0
CTBP1-AS	285463	4p16.3	0	0
CTBP1	1487	4p16.3	0	0
CTBP1-AS2	92070	4p16.3	0	0
MAEA	10296	4p16.3	0	0
UVSSA	57654	4p16.3	0	0
CRIPAK	285464	4p16.3	0	0
NKX1-1	54729	4p16.3	0	0
FAM53A	152877	4p16.3	0	0
SLBP	7884	4p16.3	0	0
TACC3	10460	4p16.3	0	0
TMEM129	92305	4p16.3	0	0
FGFR3	2261	4p16.3	0	0
LETM1	3954	4p16.3	0	0
WHSC1	7468	4p16.3	0	0
NELFA	7469	4p16.3	0	0
SCARNA22	677770	4p16.3	0	0
MIR943	100126332	4p16.3	0	0
C4orf48	401115	4p16.3	0	0
NAT8L	339983	4p16.3	0	0
POLN	353497	4p16.3	0	0
HAUS3	79441	4p16.3	0	0
MIR4800	100616358	4p16.3	0	0
MXD4	10608	4p16.3	0	0
ZFYVE28	57732	4p16.3	0	0
CFAP99	402160	4p16.3	0	0
RNF4	6047	4p16.3	0	0
FAM193A	8603	4p16.3	0	0
TNIP2	79155	4p16.3	0	0
SH3BP2	6452	4p16.3	0	0
ADD1	118	4p16.3	0	0
MFSD10	10227	4p16.3	0	0
NOP14-AS1	317648	4p16.3	0	0
NOP14	8602	4p16.3	0	0
GRK4	2868	4p16.3	0	0
HTT-AS	100750326	4p16.3	0	0
HTT	3064	4p16.3	0	0
MSANTD1	345222	4p16.3	0	0
RGS12	6002	4p16.3	0	0
HGFAC	3083	4p16.3	0	0
DOK7	285489	4p16.3	0	0
LRPAP1	4043	4p16.3	0	0
LINC00955	285492	4p16.3	0	0
LOC100133461	100133461	4p16.3	0	0
ADRA2C	152	4p16.3	0	0
FAM86EP	348926	4p16.3	0	0
OTOP1	133060	4p16.3	0	0
TMEM128	85013	4p16.3	0	0
LYAR	55646	4p16.3	0	0
ZBTB49	166793	4p16.3	0	0
NSG1	27065	4p16.3	0	0
STX18	53407	4p16.3	0	0
STX18-IT1	104472519	4p16.3	0	0
STX18-AS1	100507266	4p16.2	0	0
LOC101928279	101928279	4p16.2	0	0
LINC01396	103695434	4p16.2	0	0
MSX1	4487	4p16.2	0	0
LOC101928306	101928306	4p16.2	0	0
CYTL1	54360	4p16.2	0	0
STK32B	55351	4p16.2	0	0
LINC01587	10141	4p16.2	0	0
EVC2	132884	4p16.2	0	0
EVC	2121	4p16.2	0	0
CRMP1	1400	4p16.2	0	0
MIR378D1	100616201	4p16.2	0	0
JAKMIP1	152789	4p16.1	0	0
LOC285484	285484	4p16.1	0	0
WFS1	7466	4p16.1	0	0
PPP2R2C	5522	4p16.1	0	0
MAN2B2	23324	4p16.1	0	0
MRFAP1	93621	4p16.1	0	0
LOC105374366	105374366	4p16.1	0	0
LOC93622	93622	4p16.1	0	0
S100P	6286	4p16.1	0	0
MRFAP1L1	114932	4p16.1	0	0
BLOC1S4	55330	4p16.1	0	0
KIAA0232	9778	4p16.1	0	0
TBC1D14	57533	4p16.1	0	0
LOC100129931	100129931	4p16.1	0	0
CCDC96	257236	4p16.1	0	0
TADA2B	93624	4p16.1	0	0
GRPEL1	80273	4p16.1	0	0
FLJ36777	730971	4p16.1	0	0
SORCS2	57537	4p16.1	0	0
MIR4798	100616471	4p16.1	0	0
PSAPL1	768239	4p16.1	0	0
MIR4274	100422826	4p16.1	0	0
AFAP1-AS1	84740	4p16.1	0	0
AFAP1	60312	4p16.1	0	0
LOC389199	389199	4p16.1	0	0
ABLIM2	84448	4p16.1	0	0
MIR95	407052	4p16.1	0	0
SH3TC1	54436	4p16.1	0	0
HTRA3	94031	4p16.1	0	0
ACOX3	8310	4p16.1	0	0
TRMT44	152992	4p16.1	0	0
GPR78	27201	4p16.1	0	0
CPZ	8532	4p16.1	0	0
HMX1	3166	4p16.1	0	0
LOC650293	650293	4p16.1	0	0
USP17L10	100287144	4p16.1	0	0
USP17L11	100287178	4p16.1	0	0
USP17L12	100287205	4p16.1	0	0
USP17L18	100287364	4p16.1	0	0
USP17L13	100287238	4p16.1	0	0
USP17L15	100288520	4p16.1	0	0
USP17L17	100287327	4p16.1	0	0
USP17L19	100287404	4p16.1	0	0
USP17L20	100287441	4p16.1	0	0
USP17L24	728369	4p16.1	0	0
USP17L25	728373	4p16.1	0	0
USP17L26	728379	4p16.1	0	0
USP17L27	728393	4p16.1	0	0
USP17L28	728400	4p16.1	0	0
USP17L29	728405	4p16.1	0	0
USP17L30	728419	4p16.1	0	0
USP17L9P	391627	4p16.1	0	0
USP17L6P	391622	4p16.1	0	0
DEFB131	644414	4p16.1	0	0
MIR548I2	100302277	4p16.1	0	0
DRD5	1816	4p16.1	0	0
SLC2A9	56606	4p16.1	0	0
MIR3138	100423011	4p16.1	0	0
WDR1	9948	4p16.1	0	0
ZNF518B	85460	4p16.1	0	0
CLNK	116449	4p16.1	0	0
MIR572	693157	4p15.33	0	0
HS3ST1	9957	4p15.33	0	0
LOC101929019	101929019	4p15.33	0	0
RAB28	9364	4p15.33	0	0
LINC01097	285547	4p15.33	0	0
NKX3-2	579	4p15.33	0	0
LINC01096	285548	4p15.33	0	0
BOD1L1	259282	4p15.33	0	0
MIR5091	100847023	4p15.33	0	0
LINC01182	101929071	4p15.33	0	0
LINC01085	152742	4p15.33	0	0
LINC00504	201853	4p15.33	0	0
CPEB2-AS1	441009	4p15.33	0	0
CPEB2	132864	4p15.32	0	0
LOC101929095	101929095	4p15.32	0	0
C1QTNF7	114905	4p15.32	0	0
CC2D2A	57545	4p15.32	0	0
FBXL5	26234	4p15.32	0	0
FAM200B	285550	4p15.32	0	0
BST1	683	4p15.32	0	0
CD38	952	4p15.32	0	0
FGFBP1	9982	4p15.32	0	0
FGFBP2	83888	4p15.32	0	0
PROM1	8842	4p15.32	0	0
TAPT1	202018	4p15.32	0	0
TAPT1-AS1	202020	4p15.32	0	0
LDB2	9079	4p15.32	0	0
LOC101929123	101929123	4p15.32	0	0
QDPR	5860	4p15.32	0	0
CLRN2	645104	4p15.32	0	0
LAP3	51056	4p15.32	0	0
MED28	80306	4p15.32	0	0
FAM184B	27146	4p15.32	0	0
DCAF16	54876	4p15.31	0	0
NCAPG	64151	4p15.31	0	0
LCORL	254251	4p15.31	0	0
SLIT2	9353	4p15.31	0	0
SLIT2-IT1	100505893	4p15.31	0	0
MIR218-1	407000	4p15.31	0	0
PACRGL	133015	4p15.31	0	0
KCNIP4	80333	4p15.31	0	0
MIR7978	102465859	4p15.2	0	0
LOC105374516	105374516	4p15.2	0	0
KCNIP4-IT1	359822	4p15.2	0	0
LOC100505912	100505912	4p15.2	0	0
ADGRA3	166647	4p15.2	0	0
GBA3	57733	4p15.2	0	0
PPARGC1A	10891	4p15.2	0	0
MIR573	693158	4p15.2	0	0
DHX15	1665	4p15.2	0	0
SOD3	6649	4p15.2	0	0
CCDC149	91050	4p15.2	0	0
LGI2	55203	4p15.2	0	0
SEPSECS	51091	4p15.2	0	0
SEPSECS-AS1	285540	4p15.2	0	0
PI4K2B	55300	4p15.2	0	0
ZCCHC4	29063	4p15.2	0	0
ANAPC4	29945	4p15.2	0	0
LOC101929161	101929161	4p15.2	0	0
SLC34A2	10568	4p15.2	0	0
SEL1L3	23231	4p15.2	0	0
SMIM20	389203	4p15.2	0	0
RBPJ	3516	4p15.2	0	0
CCKAR	886	4p15.2	0	0
TBC1D19	55296	4p15.2	0	0
LOC105374546	105374546	4p15.2	0	0
STIM2	57620	4p15.2	0	0
LOC101929199	101929199	4p15.2	0	0
MIR4275	100422937	4p15.1	0	0
PCDH7	5099	4p15.1	0	0
LOC102723778	102723778	4p15.1	0	0
LOC102723828	102723828	4p15.1	0	0
LOC105377651	105377651	4p15.1	0	0
LOC101927363	101927363	4p15.1	0	0
LOC101928622	101928622	4p15.1	0	0
ARAP2	116984	4p14	0	0
LOC439933	439933	4p14	0	0
DTHD1	401124	4p14	0	0
